Handle,Title,"Body (HTML)",Vendor,Type,Tags,Published,"Option1 Name","Option1 Value","Option2 Name","Option2 Value","Option3 Name","Option3 Value","Variant SKU","Variant Grams","Variant Inventory Tracker","Variant Inventory Qty","Variant Inventory Policy","Variant Fulfillment Service","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Variant Barcode","Image Src","Image Alt Text","Gift Card","Google Shopping / MPN","Google Shopping / Gender","Google Shopping / Age Group","Google Shopping / Google Product Category","SEO Title","SEO Description","Google Shopping / AdWords Grouping","Google Shopping / AdWords Labels","Google Shopping / Condition","Google Shopping / Custom Product","Google Shopping / Custom Label 0","Google Shopping / Custom Label 1","Google Shopping / Custom Label 2","Google Shopping / Custom Label 3","Google Shopping / Custom Label 4","Variant Image","Variant Weight Unit"
cruze-sunglasses,"Cruze Sunglasses","<div>THESE SHADES WERE MADE FOR THE OPEN ROAD. THEY WERE CREATED FOR THOSE LONG SUMMER DRIVES AT DUSK AFTER A LONG DAY IN THE WAVES. PUT YOUR WINDOWS DOWN, TURN THE MUSIC UP, AND CRUISE IN STYLE.</div>","Nectar Sunglasses","Fannypacks & Accessories","Accessories, Coupon, Fannypacks & Accessories, Girls, Guys, Ready to Ship, Retail, shipping-1-days, shipping-10-days, size-One-Size",FALSE,Size,"One Size",Color,"Medium Sea Green",,,NSGSG0003UOS,0,shopify,0,deny,manual,25.00,35.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/Cruze.jpg?v=1438476675,,FALSE,NSGSG0003UOS,unisex,adult,"apparel & accessories > clothing accessories > sunglasses",,,,,New,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/Cruze.jpg?v=1438476675&var_sku=NSGSG0003UOS,lb
golden-eye-blue-logo-sunglasses,"Golden Eye Blue Logo Sunglasses","<meta charset=""utf-8""><span>Do you like big butts and you cannot lie? Get these Golden Eye Blue Logo Sunglasses</span><span> from Butt Watchers today! Booty is love, booty is life, and butt watching is a lifestyle, so get your pair today and as it says on their website, ""Don&#39;t get caught.""</span>","Butt Watchers","Fannypacks & Accessories","Accessories, Artist Made, Butt Watchers, Coupon, Fannypacks & Accessories, Girls, Guys, Retail, shipping-1-days, size-One-Size, theme-streetwear",TRUE,Size,"One Size",Color,Aqua,,,BTWSG0007UOS,0,shopify,11,deny,manual,20.00,24.95,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/BTWSG0007U_Butt_Watchers_Golden_Eye_Blue_Logo_Mockup.jpg?v=1438500858,,FALSE,BTWSG0007UOS,unisex,adult,"apparel & accessories > clothing accessories > sunglasses",,,,,New,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/BTWSG0007U_Butt_Watchers_Golden_Eye_Blue_Logo_Mockup.jpg?v=1438500858&var_sku=BTWSG0007UOS,lb
golden-eye-blue-text-sunglasses,"Golden Eye Blue Text Sunglasses","<meta charset=""utf-8""><span>Do you like big butts and you cannot lie? Get these Golden Eye Blue Text Sunglasses</span><span> from Butt Watchers today! Booty is love, booty is life, and butt watching is a lifestyle, so get your pair today and as it says on their website, ""Don&#39;t get caught.""</span>","Butt Watchers","Fannypacks & Accessories","Accessories, Artist Made, Butt Watchers, Coupon, Fannypacks & Accessories, Girls, Guys, Retail, shipping-1-days, size-One-Size, theme-streetwear",TRUE,Size,"One Size",Color,Aqua,,,BTWSG0006UOS,0,shopify,12,deny,manual,20.00,24.95,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/BTWSG0006U_Butt_Watchers_Golden_Eye_Blue_Text_Mockup.jpg?v=1438500856,,FALSE,BTWSG0006UOS,unisex,adult,"apparel & accessories > clothing accessories > sunglasses",,,,,New,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/BTWSG0006U_Butt_Watchers_Golden_Eye_Blue_Text_Mockup.jpg?v=1438500856&var_sku=BTWSG0006UOS,lb
golden-eye-clear-logo-sunglasses,"Golden Eye Clear Logo Sunglasses","<meta charset=""utf-8""><span>Do you like big butts and you cannot lie? Get these Golden Eye Clear Logo Sunglasses</span><span> from Butt Watchers today! Booty is love, booty is life, and butt watching is a lifestyle, so get your pair today and as it says on their website, ""Don&#39;t get caught.""</span>","Butt Watchers","Fannypacks & Accessories","Accessories, Artist Made, Butt Watchers, Coupon, Fannypacks & Accessories, Girls, Guys, Retail, shipping-1-days, size-One-Size, theme-streetwear",TRUE,Size,"One Size",Color,Gray,,,BTWSG0010UOS,0,shopify,11,deny,manual,20.00,24.95,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/BTWSG0010U_Butt_Watchers_Golden_Eye_Clear_Logo_Mockup.jpg?v=1438500864,,FALSE,BTWSG0010UOS,unisex,adult,"apparel & accessories > clothing accessories > sunglasses",,,,,New,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/BTWSG0010U_Butt_Watchers_Golden_Eye_Clear_Logo_Mockup.jpg?v=1438500864&var_sku=BTWSG0010UOS,lb
golden-eye-clear-text-sunglasses,"Golden Eye Clear Text Sunglasses","<meta charset=""utf-8""><span>Do you like big butts and you cannot lie? Get these Golden Eye Clear Text Sunglasses</span><span> from Butt Watchers today! Booty is love, booty is life, and butt watching is a lifestyle, so get your pair today and as it says on their website, ""Don&#39;t get caught.""</span>","Butt Watchers","Fannypacks & Accessories","Accessories, Artist Made, Butt Watchers, Coupon, Fannypacks & Accessories, Girls, Guys, Retail, shipping-1-days, size-One-Size, theme-streetwear",TRUE,Size,"One Size",Color,Gray,,,BTWSG0011UOS,0,shopify,11,deny,manual,20.00,24.95,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/BTWSG0011U_Butt_Watchers_Golden_Eye_Clear_Text_Mockup.jpg?v=1438500866,,FALSE,BTWSG0011UOS,unisex,adult,"apparel & accessories > clothing accessories > sunglasses",,,,,New,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/BTWSG0011U_Butt_Watchers_Golden_Eye_Clear_Text_Mockup.jpg?v=1438500866&var_sku=BTWSG0011UOS,lb
illegal-leopard-logo-sunglasses,"Illegal Leopard Logo Sunglasses","<meta charset=""utf-8""><span>Do you like big butts and you cannot lie? Get these Illegal Leopard Logo Sunglasses</span><span> from Butt Watchers today! Booty is love, booty is life, and butt watching is a lifestyle, so get your pair today and as it says on their website, ""Don&#39;t get caught.""</span>","Butt Watchers","Fannypacks & Accessories","Accessories, Artist Made, Butt Watchers, Coupon, Fannypacks & Accessories, Girls, Guys, Retail, shipping-1-days, size-One-Size, theme-streetwear",TRUE,Size,"One Size",Color,Chocolate,,,BTWSG0008UOS,0,shopify,11,deny,manual,20.00,24.95,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/BTWSG0008U_Butt_Watchers_Illegal_Leopard_Logo_Mockup.jpg?v=1438500860,,FALSE,BTWSG0008UOS,unisex,adult,"apparel & accessories > clothing accessories > sunglasses",,,,,New,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/BTWSG0008U_Butt_Watchers_Illegal_Leopard_Logo_Mockup.jpg?v=1438500860&var_sku=BTWSG0008UOS,lb
illegal-leopard-text-sunglasses,"Illegal Leopard Text Sunglasses","<meta charset=""utf-8""><span>Do you like big butts and you cannot lie? Get these Illegal Leopard Text Sunglasses</span><span> from Butt Watchers today! Booty is love, booty is life, and butt watching is a lifestyle, so get your pair today and as it says on their website, ""Don&#39;t get caught.""</span>","Butt Watchers","Fannypacks & Accessories","Accessories, Artist Made, Butt Watchers, Coupon, Fannypacks & Accessories, Girls, Guys, Retail, shipping-1-days, size-One-Size, theme-streetwear",TRUE,Size,"One Size",Color,"Pale Violet Red",,,BTWSG0009UOS,0,shopify,8,deny,manual,20.00,24.95,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/BTWSG0009U_Butt_Watchers_Illegal_Leopard_Text_Mockup.jpg?v=1438500862,,FALSE,BTWSG0009UOS,unisex,adult,"apparel & accessories > clothing accessories > sunglasses",,,,,New,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/BTWSG0009U_Butt_Watchers_Illegal_Leopard_Text_Mockup.jpg?v=1438500862&var_sku=BTWSG0009UOS,lb
red-hot-red-logo-sunglasses,"Red Hot Red Logo Sunglasses","<meta charset=""utf-8""><span>Do you like big butts and you cannot lie? Get these Red Hot Red Logo Sunglasses from Butt Watchers today! Booty is love, booty is life, and butt watching is a lifestyle, so get your pair today and as it says on their website, ""Don&#39;t get caught."" </span>","Butt Watchers","Fannypacks & Accessories","Accessories, Artist Made, Butt Watchers, Coupon, Fannypacks & Accessories, Girls, Guys, Retail, shipping-1-days, size-One-Size, theme-streetwear",TRUE,Size,"One Size",Color,Sienna,,,BTWSG0000UOS,0,shopify,22,deny,manual,15.00,19.95,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/redblack.jpg?v=1439321650,,FALSE,BTWSG0000UOS,unisex,adult,"apparel & accessories > clothing accessories > sunglasses",,,,,New,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/redblack.jpg?v=1439321650&var_sku=BTWSG0000UOS,lb
red-hot-red-text-sunglasses,"Red Hot Red Text Sunglasses","<meta charset=""utf-8""><span>Do you like big butts and you cannot lie? Get these Red Hot Red Text Sunglasses from Butt Watchers today! Booty is love, booty is life, and butt watching is a lifestyle, so get your pair today and as it says on their website, ""Don&#39;t get caught.""</span>","Butt Watchers","Fannypacks & Accessories","Accessories, Artist Made, Butt Watchers, Coupon, Fannypacks & Accessories, Girls, Guys, Retail, shipping-1-days, size-One-Size, theme-streetwear",TRUE,Size,"One Size",Color,Sienna,,,BTWSG0001UOS,0,shopify,23,deny,manual,15.00,19.95,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/hers_Red_Hot_red_Text_Mockup_1024x1024_490ac32e-7ce7-48b8-b002-45d8b3aaef63.jpg?v=1439322468,,FALSE,BTWSG0001UOS,unisex,adult,"apparel & accessories > clothing accessories > sunglasses",,,,,New,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/hers_Red_Hot_red_Text_Mockup_1024x1024_490ac32e-7ce7-48b8-b002-45d8b3aaef63.jpg?v=1439322468&var_sku=BTWSG0001UOS,lb
sneak-attack-glossy-black-text-sunglasses,"Sneak Attack Glossy Black Text Sunglasses","<meta charset=""utf-8""><span>Do you like big butts and you cannot lie? Get these Sneak Attack Glossy Black Text Sunglasses</span><span> from Butt Watchers today! Booty is love, booty is life, and butt watching is a lifestyle, so get your pair today and as it says on their website, ""Don&#39;t get caught.""</span>","Butt Watchers","Fannypacks & Accessories","Accessories, Artist Made, Butt Watchers, Coupon, Fannypacks & Accessories, Girls, Guys, Retail, shipping-1-days, size-One-Size, theme-streetwear",TRUE,Size,"One Size",Color,Black,,,BTWSG0003UOS,0,shopify,10,deny,manual,15.00,19.95,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/BTWSG0003U_Butt_Watchers_Sneak_Attack_Black_Text_Mockup.jpg?v=1438500851,,FALSE,BTWSG0003UOS,unisex,adult,"apparel & accessories > clothing accessories > sunglasses",,,,,New,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/BTWSG0003U_Butt_Watchers_Sneak_Attack_Black_Text_Mockup.jpg?v=1438500851&var_sku=BTWSG0003UOS,lb
sneak-attack-matte-black-text-sunglasses,"Sneak Attack Matte Black Text Sunglasses","<meta charset=""utf-8""><span>Do you like big butts and you cannot lie? Get these Sneak Attack Matte Black Text Sunglasses</span><span> from Butt Watchers today! Booty is love, booty is life, and butt watching is a lifestyle, so get your pair today and as it says on their website, ""Don&#39;t get caught.""</span>","Butt Watchers","Fannypacks & Accessories","Accessories, Artist Made, Butt Watchers, Coupon, Fannypacks & Accessories, Girls, Guys, Retail, shipping-1-days, size-One-Size, theme-streetwear",TRUE,Size,"One Size",Color,Gray,,,BTWSG0002UOS,0,shopify,3,deny,manual,15.00,19.95,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/BTWSG0002U_Butt_Watchers_Sneak_Attack_Matte_Black_Text_Mockup.jpg?v=1438500849,,FALSE,BTWSG0002UOS,unisex,adult,"apparel & accessories > clothing accessories > sunglasses",,,,,New,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/BTWSG0002U_Butt_Watchers_Sneak_Attack_Matte_Black_Text_Mockup.jpg?v=1438500849&var_sku=BTWSG0002UOS,lb
